,URL
111,http://www.lapresse.ca/debats/chroniques/vincent-marissal/201301/09/01-4609541-les-haitiens-du-nord.php
112,http://www.lapresse.ca/actualites/national/201303/26/01-4634756-les-autochtones-a-ottawa-harper-a-toronto.php
113,http://www.lapresse.ca/actualites/national/201401/03/01-4725302-droits-de-la-personne-le-musee-des-controverses.php
114,http://www.lapresse.ca/actualites/national/201212/21/01-4606144-les-premieres-nations-manifestent-contre-le-budget-conservateur.php
115,http://www.lapresse.ca/actualites/national/201212/20/01-4605784-idle-no-more-la-contestation-setend-a-montreal.php
116,http://www.lapresse.ca/debats/chroniques/vincent-marissal/201301/10/01-4610274-un-autre-rendez-vous-de-la-derniere-chance.php
117,http://www.lapresse.ca/debats/editoriaux/francois-cardinal/201301/10/01-4610192-les-racines-de-la-colere.php
118,http://www.lapresse.ca/actualites/national/201301/05/01-4608630-idle-no-more-diverses-manifestations-fermeture-dun-pont-transfrontalier.php
119,http://www.lapresse.ca/actualites/politique/politique-canadienne/201212/27/01-4607114-premieres-nations-chute-dramatique-de-la-construction-dhabitations.php
120,http://www.lapresse.ca/actualites/national/201301/24/01-4614596-hospitalisee-la-chef-spence-rate-une-partie-des-ceremonies-en-son-honneur.php
121,http://www.lapresse.ca/environnement/dossiers/gaz-de-schiste/201302/15/01-4622013-nouveau-brunswick-nouvelles-regles-pour-le-gaz-de-schiste.php
122,http://www.lapresse.ca/debats/chroniques/vincent-marissal/201312/27/01-4724362-2013-en-10-noms.php
123,http://www.lapresse.ca/actualites/politique/politique-canadienne/201503/19/01-4853722-une-centaine-de-groupes-contre-c-51-au-nom-de-la-liberte-dexpression.php
124,http://www.lapresse.ca/actualites/national/201302/02/01-4617742-autochtones-le-quebec-est-il-vraiment-un-modele-a-suivre.php
125,http://www.lapresse.ca/actualites/national/201301/21/01-4613492-idle-no-more-serait-loin-de-faire-lunanimite.php
126,http://www.lapresse.ca/actualites/national/201408/17/01-4792391-opposition-au-gaz-de-schiste-le-federal-craignait-un-mouvement-national.php
127,http://www.lapresse.ca/actualites/national/201301/12/01-4610684-le-mouvement-idle-no-more-peu-connu-au-quebec.php
128,http://www.lapresse.ca/arts/livres/biographies-recits-essais/201612/01/01-5046973-emmanuelle-walter-et-philippe-ducros-road-trip-dans-le-nord.php
129,http://www.lapresse.ca/actualites/national/201306/21/01-4663849-manifestation-pour-souligner-la-journee-nationale-des-autochtones.php
130,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/10/01-4610203-rencontre-avec-stephen-harper-bisbille-chez-les-chefs-autochtones.php
131,http://www.lapresse.ca/actualites/national/201508/13/01-4892516-espionnage-decologistes-les-temoins-ne-peuvent-pas-relater-leur-presentation.php
132,http://www.lapresse.ca/actualites/national/201502/14/01-4844101-marches-au-canada-pour-les-femmes-autochtones-disparues-ou-assassinees.php
133,http://www.lapresse.ca/actualites/national/201302/02/01-4617739-idle-no-more-quand-les-femmes-bousculent-les-chefs.php
134,http://www.lapresse.ca/actualites/national/201212/22/01-4606370-idle-no-more-une-manif-autochtone-force-la-fermeture-dune-route-en-ontario.php
135,http://www.lapresse.ca/actualites/politique/politique-canadienne/201511/10/01-4919274-enquete-canadienne-sur-les-femmes-autochtones-des-consultations-sous-peu.php
136,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/21/01-4613479-les-chefs-autochtones-reclament-une-rencontre-avec-harper.php
137,http://www.lapresse.ca/debats/chroniques/rima-elkouri/201510/27/01-4914331-toutes-ces-larmes-ignorees.php
138,http://www.lapresse.ca/actualites/national/201309/02/01-4685255-idle-no-more-les-manifestations-ont-coute-180-000-a-la-grc.php
139,http://www.lapresse.ca/arts/festivals/autres-festivals/201306/21/01-4663783-23e-festival-presence-autochtone-place-aux-arts.php
140,http://www.lapresse.ca/actualites/national/201212/23/01-4606496-idle-no-more-reseaux-sociaux-actifs-mais-peu-de-reponses.php
141,http://www.lapresse.ca/debats/votre-opinion/201301/14/01-4611182-theresa-spence-nous-fait-honte.php
142,http://www.lapresse.ca/actualites/national/201303/11/01-4629897-grande-marche-pour-les-autochtones-deja-3000-km-parcourus.php
143,http://www.lapresse.ca/actualites/quebec-canada/national/201301/09/01-4609650-idle-no-more-le-rapporteur-de-lonu-ajoute-son-grain-de-sel.php
144,http://www.lapresse.ca/actualites/montreal/201408/09/01-4790493-des-centaines-de-personnes-marchent-pour-denoncer-la-lesbophobie.php
145,http://www.lapresse.ca/actualites/national/201306/26/01-4665075-idle-no-more-la-lutte-par-la-voie-juridique.php
146,http://www.lapresse.ca/actualites/politique/politique-canadienne/201409/28/01-4804354-enquete-sur-le-renseignement-depart-dun-verificateur-exige.php
147,http://www.lapresse.ca/actualites/quebec-canada/politique-canadienne/201212/11/01-4602858-la-grande-chef-dattawapiskat-entame-une-greve-de-la-faim.php
148,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/17/01-4612313-autochtones-harper-doit-sinspirer-du-quebec-estime-mulcair.php
149,http://www.lapresse.ca/actualites/quebec-canada/politique-canadienne/201301/27/01-4615598-rentree-parlementaire-mouvementee-en-vue-a-ottawa.php
150,http://www.lapresse.ca/actualites/national/201303/24/01-4634314-marche-de-1600-km-mission-accomplie-pour-six-jeunes-cris.php
151,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/04/01-4608358-idle-no-more-rencontre-au-sommet.php
152,http://www.lapresse.ca/actualites/national/201301/14/01-4611070-la-paix-des-braves-un-exemple-pour-ottawa-croit-landry.php
153,http://www.lapresse.ca/actualites/national/201310/07/01-4697451-idle-no-more-se-fait-entendre-pour-les-250-ans-de-la-proclamation-royale.php
154,http://www.lapresse.ca/actualites/national/201212/28/01-4607225-la-ministre-aglukkaq-veut-que-theresa-spence-cesse-sa-greve-de-la-faim.php
155,http://www.lapresse.ca/actualites/national/201302/10/01-4620207-traite-de-paris-autochtones-et-allochtones-se-souviennent.php
156,http://www.lapresse.ca/actualites/national/201301/06/01-4608686-idle-no-more-le-blocus-ferroviaire-a-pris-fin.php
157,http://www.lapresse.ca/actualites/politique/politique-canadienne/201212/23/01-4606537-une-greve-de-la-faim-pour-denoncer-des-politiques-de-harper.php
158,http://www.lapresse.ca/actualites/national/201302/19/01-4623114-angela-davis-une-militante-toujours-au-front.php
159,http://www.lapresse.ca/actualites/201507/07/01-4883625-la-crise-doka-a-inspire-des-mouvements-autochtones-partout-au-monde.php
160,http://www.lapresse.ca/debats/chroniques/rima-elkouri/201301/19/01-4612961-occupation-double-no-more.php
161,http://www.lapresse.ca/actualites/quebec-canada/national/201301/10/01-4610210-idle-no-more-inquietudes-quant-a-la-violence-dans-les-ecoles.php
162,http://www.lapresse.ca/actualites/national/201301/04/01-4608463-idle-no-more-manifestation-a-fredericton.php
163,http://www.lapresse.ca/actualites/national/201301/23/01-4614064-theresa-spence-met-un-terme-a-sa-greve-de-la-faim.php
164,http://www.lapresse.ca/actualites/national/201301/05/01-4608648-nouveau-blocage-ferroviaire-retards-a-montreal.php
165,http://www.lapresse.ca/actualites/national/201308/28/01-4683825-theresa-spence-reelue-a-la-tete-de-la-reserve-dattawapiskat.php
166,http://www.lapresse.ca/actualites/national/201301/03/01-4608122-idle-no-more-24-jours-de-greve-les-soutiens-sinternationalisent.php
167,http://www.lapresse.ca/environnement/pollution/201302/02/01-4617746-emissions-de-carbone-equation-alarmante.php
168,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/11/01-4610421-les-premieres-nations-deviennent-une-priorite.php
169,http://www.lapresse.ca/actualites/national/201301/11/01-4610520-des-autochtones-bloquent-un-chemin-de-fer-en-nouvelle-ecosse.php
170,http://www.lapresse.ca/arts/nouvelles/201605/04/01-4978037-voix-autochtones-les-enfants-de-riel.php
171,http://www.lapresse.ca/actualites/national/201301/11/01-4610658-printemps-erable-hiver-indien.php
